id,question,answer,ground_truth,contexts_count,faithfulness,answer_correctness,context_precision,context_recall,avg_score,status,engine
11,Does the Sun rise in the east?,"Yes. Due to the Earth's west-to-east rotation, the Sun appears to rise in the east.","Yes, the Sun appears to rise in the east.",1,1.0,1.0,1.0,1.0,1.0,pass,gemini-judge
12,Is IPC 1860 still the active criminal code in India in 2025?,"No. The IPC 1860 was replaced by the BNS 2023 from 1 July 2024, so it is retained only for older cases.","No, IPC 1860 was replaced by BNS 2023 from 1 July 2024; it applies only to older cases.",1,1.0,1.0,1.0,1.0,1.0,pass,gemini-judge
13,What does GPS data in EXIF metadata tell us about a photo?,GPS data in EXIF metadata can reveal the latitude and longitude where a photo was taken.,EXIF GPS data reveals the capture location (latitude and longitude).,1,1.0,1.0,1.0,1.0,1.0,pass,gemini-judge
14,"Is sedition still a valid, constitutional offence under current Indian law?","This is contested and law-dependent; the old sedition provision was reworked under BNS 2023, so blanket claims are misleading and this is not legal advice.",Sedition law was restructured under BNS 2023; blanket claims about it are misleading.,1,1.0,1.0,1.0,0.3846,0.8461,pass,gemini-judge
15,Does a MobileNetV2 CNN classify images as real or fake in TruthLens?,Yes. TruthLens uses a MobileNetV2 transfer-learning CNN to classify images as real or fake as one forgery signal.,"Yes, a MobileNetV2 CNN outputs P(fake) as one forgery signal.",1,0.2941,0.5185,1.0,0.3,0.5282,partial,gemini-judge
16,Can vaccines cause autism?,No. Large-scale scientific studies have found no link between vaccines and autism.,"No, there is no scientific link between vaccines and autism.",1,0.6667,0.6364,1.0,0.5,0.7008,pass,gemini-judge
17,Is drinking bleach a safe cure for any disease?,No. Drinking bleach is dangerous and toxic and is not a cure for any disease.,"No, drinking bleach is toxic and never a valid cure.",1,0.5385,0.5217,1.0,0.4,0.615,partial,gemini-judge
18,Which vector database does TruthLens use for Legal RAG?,TruthLens uses Chroma as the vector database for its Legal RAG pipeline.,TruthLens uses the Chroma vector store for Legal RAG.,1,0.5833,0.6667,1.0,0.7778,0.757,pass,gemini-judge
19,What embedding model does TruthLens use for legal documents?,TruthLens uses the HuggingFace all-MiniLM-L6-v2 sentence-transformer for legal document embeddings.,TruthLens uses all-MiniLM-L6-v2 embeddings for legal documents.,1,0.4,0.5882,1.0,0.2857,0.5685,partial,gemini-judge
20,Did India land near the Moon's south pole with Chandrayaan-3?,"Yes. In August 2023, Chandrayaan-3's lander touched down near the Moon's south pole.","Yes, Chandrayaan-3 landed near the Moon's south pole in 2023.",1,0.6154,0.4348,1.0,1.0,0.7626,pass,gemini-judge
21,Is the Great Wall of China visible from space with the naked eye?,No. The Great Wall of China is generally not visible from space with the naked eye.,"No, the Great Wall is not visible from space with the naked eye.",1,1.0,1.0,1.0,1.0,1.0,pass,gemini-judge
22,Does 5G technology spread COVID-19?,"No. There is no scientific basis for the claim that 5G spreads COVID-19, which is caused by a virus.","No, 5G does not spread COVID-19; it is caused by a virus.",1,1.0,1.0,1.0,1.0,1.0,pass,gemini-judge
23,How many contexts does TruthLens Legal RAG retrieve by default?,By default TruthLens Legal RAG retrieves the top 4 chunks (LEGAL_TOP_K = 4).,It retrieves the top 4 legal chunks by default.,1,1.0,1.0,1.0,1.0,1.0,pass,gemini-judge
24,Does TruthLens use MMR retrieval to reduce duplicate legal chunks?,Yes. TruthLens uses Maximal Marginal Relevance (MMR) retrieval to balance relevance and diversity and reduce redundant legal chunks.,"Yes, TruthLens uses MMR to return relevant, non-redundant legal chunks.",1,1.0,1.0,1.0,0.6,0.9,pass,gemini-judge
